pickup_date,pickup_day_of_week,trips,revenue,avg_revenue
2025-01-01,Wednesday,80445,2296525.87,28.54777636894773
2025-01-02,Thursday,79982,2359289.44,29.497754994873844
2025-01-03,Friday,86400,2421171.67,28.02282025462963
2025-01-04,Saturday,93023,2485049.19,26.714352256968706
2025-01-05,Sunday,75432,2212074.37,29.32541056845901
2025-01-06,Monday,76095,2192851.72,28.817290492147976
2025-01-07,Tuesday,94897,2555883.93,26.93324267363563
2025-01-08,Wednesday,106261,2796921.14,26.321238648234065
2025-01-09,Thursday,111065,2984085.1,26.86791608517535
2025-01-10,Friday,104057,2831828.13,27.214201158980174
2025-01-11,Saturday,114912,2884511.39,25.10191616193261
2025-01-12,Sunday,95997,2608849.1,27.17636071960582
2025-01-13,Monday,93752,2578948.34,27.50819545183036
2025-01-14,Tuesday,112927,3005090.22,26.610909879833876
2025-01-15,Wednesday,117093,3127455.23,26.70915622624751
2025-01-16,Thursday,127802,3467745.04,27.133730614544373
2025-01-17,Friday,110671,3029749.17,27.376179577305706
2025-01-18,Saturday,111854,2767895.01,24.745605968494644
2025-01-19,Sunday,108596,2678510.61,24.66491040185642
2025-01-20,Monday,83437,3263952.74,39.118769131200786
2025-01-21,Tuesday,108440,2916845.4,26.898242345997787
2025-01-22,Wednesday,116843,3051961.13,26.12018803009166
2025-01-23,Thursday,125884,3345114.43,26.572991245908934
2025-01-24,Friday,118730,3144607.86,26.485368988461214
2025-01-25,Saturday,128146,3144948.61,24.541917890531113
2025-01-26,Sunday,95933,2589763.93,26.995548247214202
2025-01-27,Monday,87464,2423789.58,27.711853791274127
2025-01-28,Tuesday,106400,2805509.0,26.367565789473684
2025-01-29,Wednesday,112116,2974170.96,26.527622819222948
2025-01-30,Thursday,122402,3312792.16,27.06485318867339
2025-01-31,Friday,120314,3191569.14,26.526997190684376
